Title,No. of Pages,Author,,,Publisher,Publication Year,ISBN,Subject,,,,,,Clz Book ID,Front Cover,,,
We Can Use The Computer: Book E (We Can Use Computers),,Rachel Biheller Bunin; Maureen Berliner Engeleit,,,Scholastic,1994,9780590495462,Education / Teaching Methods & Materials / General; Juvenile Nonfiction / Computers / General,,,,,,3314846,WeCanUseTheComputerBook344_f.jpg,,,
I Spy: A Book Of Picture Riddles,40,Jean Marzollo; Carol Devine Carson,,,Cartwheel,1992,9780590450874,Hidden-picture Books; Juvenile Nonfiction / Games & Activities / General; Picture Puzzles; Picture Puzzles/ Juvenile Literature,,,,,,425557,ISpyABookOfPictureRiddl287_f.jpg,,,
The Mall (Point Horror),176,Richie Tankersley Cusick,,,Scholastic,1995,9780590131582,Juvenile Nonfiction,,,,,,435623,TheMallPointHorrorRich597_f.jpg,,,
Jungle Book: Disney Animated Series,,Walt Disney,,,Crescent,1988,9780517670064,,,,,,,5457357,,,,
Tim Burton's Nightmare Before Christmas: A Pop-Up Book,,Tim Burton,,,Mouse Works,1993,9780453031325,Christmas/ Fiction; Halloween/ Fiction; Juvenile Fiction / General; Picture Books For Children; Toy And Movable Books/ Specimens,,,,,,726032,TimBurtonsNightmareBefore358_f.jpg,,,
Secrets To The Grave,592,Tami Hoag,,,Signet,2011,9780451235152,Fiction,,,,,,10615454,SecretsToTheGraveTamiHo698_f.jpg,,,
Ice Stars,46,Sydelle Kramer; Jim Campbell,,,Grosset & Dunlap,1997,9780448415901,Ice Skaters; Women Figure Skaters; Women Skaters/ Biography/ Juvenile Literature,,,,,,9764634,IceStarsSydelleKramerJi392_f.jpg,,,
The Confession,544,John Grisham,,,Random House Publishing Group,2011,9780440245117,Fiction / General; Fiction / Legal; Fiction / Thrillers,,,,,,10798313,TheConfessionJohnGrisham682_f.jpg,,,
Britain 1750-1900,96,John Child,,,,1995,9780431073644,,,,,,,14030128,,,,
Against All Enemies,720,Peter Telep Tom Clancy,,,Berkley Pub Group,2012,9780425246061,Fiction / Action & Adventure; Fiction / Suspense; Fiction / Thrillers; Fiction / War & Military,,,,,,10705000,AgainstAllEnemiesPeterTe723_f.jpg,,,
Night Vision,448,Randy Wayne White,,,Penguin Group (USA) Incorporated,2012,9780425245750,Fiction / Action & Adventure; Fiction / Mystery & Detective / General; Fiction / Suspense; Fiction / Thrillers,,,,,,12217569,NightVisionRandyWayneWhi714_f.jpg,,,
The Judas Gate,368,Jack Higgins,,,Penguin Group (USA) Incorporated,2011,9780425244869,Fiction / Espionage; Fiction / Suspense; Fiction / Thrillers,,,,,,11910250,TheJudasGateJackHiggins732_f.jpg,,,
Dead Or Alive,960,Tom Clancy,,,Berkley Pub Group,2011,9780425244852,Fiction,,,,,,11113408,DeadOrAliveTomClancy687_f.jpg,,,
Bad Blood,432,John Sandford,,,Berkley,2011,9780425243930,Fiction,,,,,,11057121,BadBloodJohnSandford726_f.jpg,,,
Crescent Dawn,640,Dirk Cussler CLive Cussler,,,Berkley Pub Group,2011,9780425242391,Fiction / Action & Adventure; Fiction / General; Fiction / Men's Adventure; Fiction / Thrillers,,,,,,10565322,CrescentDawnDirkCusslerC673_f.jpg,,,
Freddie Saves The Day (Freddie Cartoon Books),64,Jon Acevski,,,Time Warner Paperbacks,1992,9780356201160,,,,,,,7495178,,,,
Freddie Goes To London (Freddie Cartoon Books) (Freddie Cartoon Books),64,Jon Acevski,,,Time Warner Paperbacks,1992,9780356201153,,,,,,,5299362,,,,
The Firm (Movie Tie-In Edition),544,John Grisham,,,Dell Pub Co,2012,9780345534958,Fiction,,,,,,12323669,TheFirmMovieTieInEdition710_f.jpg,,,
Horatio Happened,25,Cave,,,Hodder & Stoughton,1999,9780340715154,Fiction / General,,,,,,5806553,,,,
Robert Ludlum's The Hades Factor,576,Robert Ludlum; Gayle Lynds,,,St. Martin's Paperbacks,2011,9780312547042,Fiction,,,,,,11172954,RobertLudlumsTheHadesFact667_f.jpg,,,
The Final Judgment,624,Richard North Patterson,,,St. Martin's Press,2011,9780312381639,Fiction / General; Fiction / Legal,,,,,,11918922,TheFinalJudgmentRichardN685_f.jpg,,,
I Don't Know How She Does It,352,Allison Pearson,,,Knopf Doubleday Publishing Group,2011,9780307948564,Fiction / Contemporary Women; Fiction / Family Life; Fiction / Humorous,,,,,,11021143,IDontKnowHowSheDoesIt768_f.jpg,,,
Tudor Seafarers,,Shaan Butters,,,OUP,1989,9780199133505,,,,,,,13888626,,,,
The Oxford Primary School Dictionary,570,Robert W. Allen,,,,1998,9780199104482,,,,,,,14030042,,,,
Hungry Hen,32,Richard Waring,,,OUP Oxford,2001,9780192723833,Chickens - Pictorial Works; Foxes - Pictorial Works,,,,,,5794756,HungryHenRichardWaring294_f.jpg,,,
A Discovery Of Witches,592,Deborah E. Harkness,,,Penguin Group (USA) Incorporated,2011,9780143119685,Fiction / Fantasy / Contemporary; Fiction / General; Fiction / Occult & Supernatural; Fiction / Romance / General; Fiction / Romance / Paranormal,,,,,,11919964,ADiscoveryOfWitchesDebor748_f.jpg,,,
The Best Spiritual Writing 2011,244,Philip Zaleski; Billy Collins,,,Penguin Books,2010,9780143118671,American Literature; Spiritual Life - Literary Collections,,,,,,9915096,TheBestSpiritualWriting201742_f.jpg,,,
Bad Habits!: (Or The Taming Of Lucretzia Crum) (Picture Puffin),32,Babette Cole,,,Penguin UK,1999,9780140564518,Behavior; Humorous Stories; Juvenile Fiction / General; Juvenile Fiction / Social Issues / General; Monsters,,,,,,936070,BadHabitsOrTheTamingOf367_f.jpg,,,
Captain Pugwash In The Secret Of San Fiasco,28,John Ryan,,,Puffin,1996,9780140554847,Juvenile Fiction,,,,,,9167090,,,,
Little Bear's Trousers,32,Jane Hissey,,,Arrow Books Ltd,1989,9780099597803,Bears; Juvenile Fiction / General; Teddy Bears; Toys; Trousers,,,,,,5994237,LittleBearsTrousersJane339_f.jpg,,,
Dr. Xargle's Book Of Earth Weather (Red Fox Picture Books),32,Jeanne Willis,,,Red Fox,1994,9780099299417,Nature / Weather,,,,,,1406669,DrXarglesBookOfEarthWea203_f.jpg,,,
We Need To Talk About Kevin Tie-In,432,Lionel Shriver,,,Harper Perennial,2011,9780062119049,Fiction,,,,,,11370465,WeNeedToTalkAboutKevinTi792_f.jpg,,,
Djibouti: A Novel,288,Elmore Leonard,,,,2011,9780061735219,,,,,,,11909797,DjiboutiANovelElmoreLeo707_f.jpg,,,
"Best Bug To Be, The",,Claire M. Johnson,,,Atheneum,1992,9780027478426,Schools - Fiction; Theater - Fiction,,,,,,317627,,,,
Everyday Hero,32,Acton Figueroa,,,HarperCollins Entertainment,2004,9780007178193,Juvenile Fiction,,,,,,1683146,EverydayHeroActonFigueroa576_f.jpg,,,
Sporting Facts,16,Ginny Lapage,,,Collins Educational,1990,9780003135381,English Language; Readers (Primary); Reading (Primary); Sports,,,,,,8808587,,,,
Letterland Abc,60,Richard Carlisle; Lyn Wendon,,,Collins Educational,1998,9780003034189,,,,,,,10920981,,,,
Shadow Learns A Lesson,,Enid Blyton,,,Collins,1987,9780001238909,,,,,,,11781809,,,,
